"name","sub","size"
"REILLY CONSTRUCTION INC","Administrative Office of the U.S. Courts",537513
"MICROPACT INC","Administrative Review Board",374951.1
"WEST PUBLISHING CORPORATION","Administrative Review Board",19103.8
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Administrative Review Board",3559.28
"KYOCERA MITA AMERICA INC","Administrative Review Board",3545.64
"ELUCID SOLUTIONS INC","Advisory Council on Historic Preservation",303048.64
"CARAHSOFT TECHNOLOGY CORP","Advisory Council on Historic Preservation",279178.08
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","Advisory Council on Historic Preservation",217159.2
"INTERNATIONAL BUSINESS MACHINE","Advisory Council on Historic Preservation",130126.6
"ACHP ALUMNI FOUNDATION","Advisory Council on Historic Preservation",98100
"SOFTCHOICE CORPORATION","Advisory Council on Historic Preservation",83972.88
"KNOWLEDGE CONSULTING GROUP","Advisory Council on Historic Preservation",75544.05
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Advisory Council on Historic Preservation",53137.9
"AMERICAN UNIVERSITY","Advisory Council on Historic Preservation",45193
"PLACE ECONOMICS","Advisory Council on Historic Preservation",42790
"AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES","Agency for Healthcare Research and Quality",982741.84
"JR REINGOLD & ASSOCIATES INC","Agency for Healthcare Research and Quality",611590
"MAYO CLINIC","Agency for Healthcare Research and Quality",520000
"DUKE UNIVERSITY","Agency for Healthcare Research and Quality",295000
"MIDTOWN PERSONNEL INC","Agency for Healthcare Research and Quality",131132.65
"HAWORTH INC","Agency for International Development",999865.14
"MICORE SOLUTIONS INC","Agency for International Development",982161.5
"MICROCOM SPRL","Agency for International Development",978364.28
"INTERNATIONAL CENTER FOR LANGUAGE STUDIES INC","Agency for International Development",973270
"CRUISE VENTURES INC","Agency for International Development",951048.33
"LIFELINE NEPAL","Agency for International Development",945832
"CLARO KC GLOBAL INC","Agency for International Development",943316
"INTELLIGENT DECISIONS INC","Agency for International Development",904678.35
"LEDMARK INDUSTRIES LLC","Agency for International Development",904094
"N-R-S INTERNATIONAL FZCO","Agency for International Development",890000
"WESTERN VEG-PRODUCE INC","Agricultural Marketing Service",956499.8
"NEBRASKA BEAN INC","Agricultural Marketing Service",951823.97
"BLACKSTONE TECHNOLOGY GROUP","Agricultural Marketing Service",933141.04
"MCCALL FARMS INC","Agricultural Marketing Service",911168.57
"HICKMANS EGG RANCH INC","Agricultural Marketing Service",882675
"NATURIPE FOODS LLC","Agricultural Marketing Service",815250.78
"CONSUMMATE COMPUTER CONSULTANTS SYSTEMS LLC","Agricultural Marketing Service",812800
"EMIGH WOLF INVESTMENTS LLC","Agricultural Marketing Service",788936.54
"HOLM DEL RAY & SONS INC","Agricultural Marketing Service",788051.4
"TEASDALE FOODS INC","Agricultural Marketing Service",734788.8
"ALUTIIQ COMMERCIAL ENTERPRISES LLC","Agricultural Research Service",992929.79
"BRUNOW CONTRACTING LLC","Agricultural Research Service",956114.5
"ALESIG CONSULTING LLC","Agricultural Research Service",942258.6
"FCA US LLC","Agricultural Research Service",933855
"WRIGHT BROS LLC","Agricultural Research Service",931088.52
"REMI GROUP LLC THE","Agricultural Research Service",926356.66
"ULTIMATE CONSTRUCTION INC","Agricultural Research Service",921368.87
"CAMPBELL SCIENTIFIC INC","Agricultural Research Service",919458.32
"KYNETEC USA INC","Agricultural Research Service",916000
"JEOL USA INC","Agricultural Research Service",875468.64
"PHOENIX DATA CORPORATION","Alcohol and Tobacco Tax and Trade Bureau",872105.6
"SNAP INC","Alcohol and Tobacco Tax and Trade Bureau",821867.09
"EXECUTIVE INFORMATION SYSTEMS","Alcohol and Tobacco Tax and Trade Bureau",685637.18
"EMERGENT LLC","Alcohol and Tobacco Tax and Trade Bureau",461618.98
"PROFESSIONAL MANAGEMENT ENTERPRISES INC","Alcohol and Tobacco Tax and Trade Bureau",442441.6
"TECHGLOBAL INC","Alcohol and Tobacco Tax and Trade Bureau",439613.76
"INTELLIPEAK SOLUTIONS INC","Alcohol and Tobacco Tax and Trade Bureau",437875.25
"GREENZONE SOLUTIONS INC","Alcohol and Tobacco Tax and Trade Bureau",394118.32
"TALU LLC","Alcohol and Tobacco Tax and Trade Bureau",334030.3
"GOVSMART INC","Alcohol and Tobacco Tax and Trade Bureau",332724.69
"GEORGE MASON UNIVERSITY","American Battle Monuments Commission",111000
"KENWOOD USA CORPORATION","American Battle Monuments Commission",825.48
"EPOCH CONCEPTS LLC","Animal and Plant Health Inspection Service",936779.99
"GOVERNMENT SCIENTIFIC SOURCE INC","Animal and Plant Health Inspection Service",891917.21
"VEOLIA ES INDUSTRIAL SERVICES INC","Animal and Plant Health Inspection Service",884267.69
"MEHLING SPRAYING SERVICE LLC","Animal and Plant Health Inspection Service",860160
"AMERIGUARD SECURITY SERVICES INC","Animal and Plant Health Inspection Service",840956.04
"IOWA STATE UNIVERSITY","Animal and Plant Health Inspection Service",827838.38
"CHS INC","Animal and Plant Health Inspection Service",819279.4
"R J CORMAN AIRCRAFT MAINTENANCE LLC","Animal and Plant Health Inspection Service",816494.68
"TECHNIK INC","Animal and Plant Health Inspection Service",814999.32
"MISCELLANEOUS FOREIGN AWARDEES","Animal and Plant Health Inspection Service",801544.79
"SASH JOINT VENTURE","Armed Forces Retirement Home",602224.03
"MEI SERVICES INC","Armed Forces Retirement Home",521622.22
"PRUDENTIAL PROTECTIVE SERVICES LLC","Armed Forces Retirement Home",519063.6
"MANTONI DR ROBERT INC","Armed Forces Retirement Home",450000
"JOINT COMMISSION RESOURCES INC","Armed Forces Retirement Home",370933.45
"JOSEPH UKO","Armed Forces Retirement Home",361920
"HOTARD COACHES INC","Armed Forces Retirement Home",329489.5
"VETERANS MANAGEMENT SERVICES INC","Armed Forces Retirement Home",293564.36
"GREENER CONSTRUCTION SERVICES INC","Armed Forces Retirement Home",280837
"GOODLOE JOHN P SR","Armed Forces Retirement Home",252160
"AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM","Assistant Secretary for Departmental Management",400000
"IHS GLOBAL INC","Assistant Secretary for Departmental Management",355000
"TALU LLC","Assistant Secretary for Departmental Management",216435.54
"EAGLE HILL CONSULTING LLC","Assistant Secretary for Departmental Management",149897.42
"ALL EVENTS PLANNING INC","Assistant Secretary for Departmental Management",123802.71
"ENG SOLUTIONS INC","Assistant Secretary for Departmental Management",110014.39
"OMNIFICS INC","Assistant Secretary for Departmental Management",82142.64
"DYNAMIC FACILITY DESIGNS LLC","Assistant Secretary for Departmental Management",77280.46
"TEKNION LLC","Assistant Secretary for Departmental Management",57723.86
"CARAHSOFT TECHNOLOGY CORPORATION","Assistant Secretary for Departmental Management",38461.24
"22ND CENTURY TECHNOLOGIES INC","Benefits Review Board",47387.68
"FAX PLUS INCORPORATED","Benefits Review Board",13982.72
"XEROX CORPORATION","Benefits Review Board",12796.24
"KYOCERA MITA AMERICA INC","Benefits Review Board",8156.02
"RELX INC","Benefits Review Board",6933
"WEST PUBLISHING CORPORATION","Benefits Review Board",4585.94
"AT&T MOBILITY LLC","Benefits Review Board",3969.86
"GATESAIR INC","Broadcasting Board of Governors",985295.36
"ASSIGNED COUNSEL INCORPORATED","Broadcasting Board of Governors",969886.6
"FOXX PROFESSIONALS LLC","Broadcasting Board of Governors",883940.1
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Broadcasting Board of Governors",834971.3
"AL-AMANA INDUSTRIES CO","Broadcasting Board of Governors",806133.44
"NEW TECH SOLUTIONS INC","Broadcasting Board of Governors",743504
"PAYDESK LIMITED","Broadcasting Board of Governors",719523.99
"WOODSIDE TEMPORARIES INC","Broadcasting Board of Governors",652903.17
"THOMAS CASTRO GUTIERREZ CPA LLC","Broadcasting Board of Governors",652880
"AQUENT INC","Broadcasting Board of Governors",650430.91
"GLOCK INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",999190
"BOOZ ALLEN HAMILTON INCORPORATED 3626","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",977845
"POTOMAC ELECTRIC POWER COMPANY","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",900000
"OFFICE IMAGES INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",899225.35
"DUN & BRADSTREET INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",840574.48
"EC AMERICA INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",814273.84
"STARLIMS CORPORATION","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",799395.76
"MOI INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",798935.99
"ADAPTIVE DIGITAL SYSTEMS INC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",778831
"ENTERPRISE LODGING OF HUNTSVILLE LLC","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",756580
"PREMIER MANAGEMENT CORPORATION","Bureau of Economic Analysis",778896.72
"GLOBAL NETWORK SYSTEMS OF MARYLAND INC","Bureau of Economic Analysis",745000
"BUREAU VAN DIJK ELECTRONIC PUBLISHING INC","Bureau of Economic Analysis",716168
"CARAHSOFT TECHNOLOGY CORP","Bureau of Economic Analysis",636867.04
"NPD GROUP INC THE","Bureau of Economic Analysis",427080
"CSRA LLC","Bureau of Economic Analysis",392717
"PROCON CONSULTING LLC","Bureau of Economic Analysis",361447.24
"INTERFACE AMERICAS INC","Bureau of Economic Analysis",358523.66
"STANDARD & POORS FINANCIAL SERVICES LLC","Bureau of Economic Analysis",341064
"ALLSTEEL INC","Bureau of Economic Analysis",338404.99
"INTEGRATED SYSTEMS","Bureau of Engraving and Printing",987720.11
"GOVERNMENT ACQUISITIONS INC","Bureau of Engraving and Printing",875665.23
"CENTRAL PARKING SYSTEM INC","Bureau of Engraving and Printing",791964
"KINETIX","Bureau of Engraving and Printing",767446.32
"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC INC","Bureau of Engraving and Printing",758793.34
"CLEAN HARBORS ENVIRONMENTAL SE","Bureau of Engraving and Printing",731447.85
"LABWARE INCORPORATED","Bureau of Engraving and Printing",712330
"ALLTEC ANGEWANDTE LASERLICHT TECHNOLOGIE GESELLSCHAFT MIT BESCHRANKTER HAFTUNG","Bureau of Engraving and Printing",673679.28
"GCMICRO CORPORATION","Bureau of Engraving and Printing",625000
"ONEXIA INC","Bureau of Engraving and Printing",609515.1
"IINA BA INC","Bureau of Indian Affairs and Bureau of Indian Education",996843.63
"HELIOS RESOURCES LTD","Bureau of Indian Affairs and Bureau of Indian Education",989528
"COOLIDGE ENGINE & PUMP LLC","Bureau of Indian Affairs and Bureau of Indian Education",983941.2
"PERFECTA MEDIA LLC","Bureau of Indian Affairs and Bureau of Indian Education",972287.52
"UTILITY CONSTRUCTION COMPANY INC","Bureau of Indian Affairs and Bureau of Indian Education",959899.31
"ARIZONA ELECTRIC POWER COOPERATIVE INC","Bureau of Indian Affairs and Bureau of Indian Education",951963.34
"KINNEY RODNEY P ASSOCIATES INC","Bureau of Indian Affairs and Bureau of Indian Education",933654.66
"KAY COUNTY JUSTICE FACILITY","Bureau of Indian Affairs and Bureau of Indian Education",931722.2
"ECOPLAN ASSOCIATES INC","Bureau of Indian Affairs and Bureau of Indian Education",919781.57
"CONTINENTAL DIVIDE ELECTRIC COOPERATIVE INC","Bureau of Indian Affairs and Bureau of Indian Education",888688.2
"NETIMPACT STRATEGIES INC","Bureau of Industry and Security",930436.3
"FORCE 3 INC","Bureau of Industry and Security",761498.93
"IRON BOW TECHNOLOGIES LLC","Bureau of Industry and Security",719061.73
"INSIGHT PUBLIC SECTOR INC","Bureau of Industry and Security",642429
"MERCHANTS AUTOMOTIVE GROUP INCORPORATED","Bureau of Industry and Security",508667.39
"AT&T MOBILITY LLC","Bureau of Industry and Security",495952.12
"EXECUTIVE INFORMATION SYSTEMS","Bureau of Industry and Security",322494.32
"DELTA RESOURCES INC","Bureau of Industry and Security",301601.48
"INTELLIGENT DECISIONS INC","Bureau of Industry and Security",290771.7
"TRIDENT TECHNICAL SOLUTIONS LLC","Bureau of Industry and Security",281807.04
"SIGNATURE RENOVATIONS LLC","Bureau of International Labor Affairs",772097.34
"SISTEMAS FAMILIA Y SOCIEDAD - CONSULTORES ASOCIADOS EIRL","Bureau of International Labor Affairs",613725
"MOI INC","Bureau of International Labor Affairs",474559.09
"OBRIEN & ASSOCIATES INTERNATIONAL INC","Bureau of International Labor Affairs",459936
"H&S RESOURCES CORPORATION","Bureau of International Labor Affairs",437494.45
"WILLIAMS ADLEY & COMPANY - DC LLP","Bureau of International Labor Affairs",234589.39
"MANAGEMENT SYSTEMS INTERNATIONAL INC","Bureau of International Labor Affairs",188339.09
"AT&T MOBILITY LLC","Bureau of International Labor Affairs",89282.72
"GRAFIK INDUSTRIES LTD","Bureau of International Labor Affairs",73583.3
"XEROX CORPORATION","Bureau of International Labor Affairs",45981.72
"NOVALINK SOLUTIONS LLC","Bureau of Labor Statistics",965160
"COPYCO OFFICE SOLUTIONS INC","Bureau of Labor Statistics",885651.02
"R S MEANS COMPANY LLC","Bureau of Labor Statistics",823650
"EXALT INTEGRATED TECHNOLOGIES LLC","Bureau of Labor Statistics",794591.09
"GOVSMART INC","Bureau of Labor Statistics",760244.62
"ATH SOLUTIONS INC","Bureau of Labor Statistics",661661.2
"TWD & ASSOCIATES INC","Bureau of Labor Statistics",622423
"MAD SECURITY LLC","Bureau of Labor Statistics",502433.07
"BRANDT INFORMATION SERVICES INC","Bureau of Labor Statistics",471482.73
"LANCER INFORMATION SOLUTIONS LLC","Bureau of Labor Statistics",468399
"MARKS RANCH INC","Bureau of Land Management",994665.99
"HERMAN MILLER INC","Bureau of Land Management",994571.01
"JENNINGS PHIL D","Bureau of Land Management",993550
"JACOBS ENGINEERING GROUP INC","Bureau of Land Management",987623.81
"HOMESTEAD FARMS","Bureau of Land Management",986505.7
"LC PAVING & SEALING INC","Bureau of Land Management",981985.97
"CANON USA INC","Bureau of Land Management",970649.62
"DESERT SAGE FARM LLC","Bureau of Land Management",957499.2
"FAR WESTERN ANTHROPOLOGICAL RESEARCH GROUP INC","Bureau of Land Management",956315.98
"NORTHWEST HELICOPTERS I INC","Bureau of Land Management",954470.2
"ENVIRONMENTAL SYSTEMS RESEARCH","Bureau of Ocean Energy Management",962297.64
"ICF INCORPORATED LLC","Bureau of Ocean Energy Management",704989.46
"IHS GLOBAL INC","Bureau of Ocean Energy Management",598145
"AECOM TECHNICAL SERVICES INC","Bureau of Ocean Energy Management",574297.89
"LCH CONSULTING LLC","Bureau of Ocean Energy Management",558205.08
"BRAUND STEPHEN R & ASSOCIATES","Bureau of Ocean Energy Management",556533.89
"CODAR OCEAN SENSORS LTD","Bureau of Ocean Energy Management",543363.24
"COUNTERTRADE PRODUCTS INC","Bureau of Ocean Energy Management",535750.25
"ECONOMETRICA INC","Bureau of Ocean Energy Management",482632.38
"TECHNICAL INNOVATION LLC","Bureau of Ocean Energy Management",472998.81
"HYDROS CONSULTING INC","Bureau of Reclamation",994269.91
"SITE WORK SOLUTIONS","Bureau of Reclamation",991702.95
"ARCHAEOLOGICAL CONSULTING SERVICES LIMITED","Bureau of Reclamation",990711.99
"CONDOR SECURITY OF AMERICA INC","Bureau of Reclamation",979758.99
"AT&T CORP","Bureau of Reclamation",974739.39
"RED ONE CONSTRUCTION LLC","Bureau of Reclamation",969778.99
"FRED PHILLIPS CONSULTING LLC","Bureau of Reclamation",956742.8
"SOUND SCIENCE LLC","Bureau of Reclamation",950881.59
"INTER-FLUVE INC","Bureau of Reclamation",937324.54
"INTEQ GROUP THE","Bureau of Reclamation",933380
"CSI TECHNOLOGIES LLC","Bureau of Safety and Environmental Enforcement",940011.26
"STEELCASE INC","Bureau of Safety and Environmental Enforcement",899784.54
"SOUTHWEST RESEARCH INSTITUTE","Bureau of Safety and Environmental Enforcement",897094
"UNIVERSITY OF HOUSTON SYSTEM","Bureau of Safety and Environmental Enforcement",872403
"CINTAS CORPORATION","Bureau of Safety and Environmental Enforcement",721190.58
"GRANT THORNTON LLP","Bureau of Safety and Environmental Enforcement",670406.94
"EXPONENT INC","Bureau of Safety and Environmental Enforcement",662110
"R H G GROUP INCORPORATED","Bureau of Safety and Environmental Enforcement",635038.89
"IHS GLOBAL INC","Bureau of Safety and Environmental Enforcement",607085.87
"FIG LEAF SOFTWARE INC","Bureau of Safety and Environmental Enforcement",603743.78
"KONICA MINOLTA BUSINESS SOLUTIONS USA INC","Bureau of the Fiscal Service",999946.01
"MLINQS LIMITED LIABILITY COMPANY","Bureau of the Fiscal Service",991858.34
"PITNEY BOWES INC","Bureau of the Fiscal Service",975581.82
"PANAMERICA COMPUTERS INC","Bureau of the Fiscal Service",954638.15
"NEW TECH SOLUTIONS INC","Bureau of the Fiscal Service",946621.1
"INTELLIPEAK SOLUTIONS INC","Bureau of the Fiscal Service",929317.46
"FORRESTER RESEARCH INC","Bureau of the Fiscal Service",881431.54
"DUALDRAW","Bureau of the Fiscal Service",864241.56
"STARS II PARTNERSHIP JOINT VENTURE LLC","Bureau of the Fiscal Service",854261.52
"GARTNER INC","Bureau of the Fiscal Service",841119.48
"METAMEDIA TRAINING INTERNATIONAL INC","Centers for Disease Control and Prevention",999759
"CELLAR DOOR LABS","Centers for Disease Control and Prevention",999592
"WILLIS MECHANICAL INC","Centers for Disease Control and Prevention",998363
"REEVES & ASSOCIATES CONSULTING AND TRAINING INC","Centers for Disease Control and Prevention",997362.81
"STERLING COMPUTERS CORPORATION","Centers for Disease Control and Prevention",994895.09
"HYDRO INC","Centers for Disease Control and Prevention",990009.77
"DELMARVA FOUNDATION FOR MEDICAL CARE INC","Centers for Disease Control and Prevention",987790.92
"MICROBPLEX INC","Centers for Disease Control and Prevention",987059
"HLN CONSULTING LLC","Centers for Disease Control and Prevention",986243.28
"ENVIRONMENTAL SYSTEMS RESEARCH","Centers for Disease Control and Prevention",977105.11
"MGA PARTNERS LLC","Centers for Medicare and Medicaid Services",999459.97
"SUSQUEHANNA ACTUARIAL CONSULTING INCORPORATED","Centers for Medicare and Medicaid Services",974807
"STARS II PARTNERSHIP JOINT VENTURE LLC","Centers for Medicare and Medicaid Services",951823.51
"CAHABA SAFEGUARD ADMINISTRATORS LLC","Centers for Medicare and Medicaid Services",894668.09
"CANON USA INC","Centers for Medicare and Medicaid Services",865840.88
"BRANDEIS UNIVERSITY","Centers for Medicare and Medicaid Services",843734.54
"WOLTERS KLUWER CLINICAL DRUG INFORMATION INC","Centers for Medicare and Medicaid Services",837557.21
"FLEXION INC","Centers for Medicare and Medicaid Services",821697.16
"IHS GLOBAL INC","Centers for Medicare and Medicaid Services",789139
"BOLTON PARTNERS INC","Centers for Medicare and Medicaid Services",739667
"CGI FEDERAL INC","Commission of Fine Arts",663167.04
"FIG LEAF SOFTWARE INC","Commission of Fine Arts",199539.9
"BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC","Commission of Fine Arts",89142.09
"CIRACOM INCORPORATED","Commission of Fine Arts",18355.68
"WEMED SERVICES INC","Committee for Purchase from People Who Are Blind or Severely Disabled",208762.24
"NETWORKING INSTITUTE OF TECHNOLOGY INCORPORATED","Committee for Purchase from People Who Are Blind or Severely Disabled",137440
"BARNES SUPPLY COMPANY INC","Committee for Purchase from People Who Are Blind or Severely Disabled",32514.4
"GIBBS CONTRACTING INC","Committee for Purchase from People Who Are Blind or Severely Disabled",20296.74
"HYMAN BRICKLE & SON INC","Committee for Purchase from People Who Are Blind or Severely Disabled",17920
"GIGA INC","Committee for Purchase from People Who Are Blind or Severely Disabled",8192.4
"FEDERAL PRISON INDUSTRIES INC","Committee for Purchase from People Who Are Blind or Severely Disabled",7934.4
"PRO BUY SOLUTIONS LLC","Committee for Purchase from People Who Are Blind or Severely Disabled",7812.8
"STAR ASSET SECURITY INC","Committee for Purchase from People Who Are Blind or Severely Disabled",7392
"NOBLE SALES CO INC","Committee for Purchase from People Who Are Blind or Severely Disabled",7217.5
"CGI FEDERAL INCORPORATED","Commodity Futures Trading Commission",823467.22
"LEGAL FILES SOFTWARE INC","Commodity Futures Trading Commission",714966.63
"APPRIO INC","Commodity Futures Trading Commission",710661.47
"STRATIVIA LLC","Commodity Futures Trading Commission",657806.8
"DENNIS MILLICAN & ASSOCIATES INC","Commodity Futures Trading Commission",623980.8
"ALVAREZ & ASSOCIATES LLC","Commodity Futures Trading Commission",600651.86
"INTERACTIVE DATA CORPORATION","Commodity Futures Trading Commission",578592.58
"EXECUTIVE INFORMATION SYSTEMS","Commodity Futures Trading Commission",568546.34
"COASTAL INTERNATIONAL SECURITY","Commodity Futures Trading Commission",562438.16
"THOMSON REUTERS MARKETS LLC","Commodity Futures Trading Commission",536844.1
"SUMMIT CONSULTING LIMITED LIABILITY COMPANY","Community Development Financial Institutions Fund",912143.36
"ASSOCIATION FOR ENTERPRISE OPPORTUNITY INC","Community Development Financial Institutions Fund",906093.08
"NATIONAL COMMUNITY INVESTMENT FUND","Community Development Financial Institutions Fund",771812.5
"NEIGHBORHOOD REINVESTMENT CORPORATION","Community Development Financial Institutions Fund",609818.4
"A REDDIX & ASSOCIATES INC","Community Development Financial Institutions Fund",479029.88
"PANAMERICA COMPUTERS INC","Community Development Financial Institutions Fund",382998.08
"CONCENTRANCE CONSULTING GROUP INC","Community Development Financial Institutions Fund",145270.05
"BIXAL SOLUTIONS INCORPORATED","Community Development Financial Institutions Fund",59798.58
"AERIS INSIGHT INC","Community Development Financial Institutions Fund",21500
"CARAHSOFT TECHNOLOGY CORP","Community Development Financial Institutions Fund",17052.64
"EPIQ CLASS ACTION & CLAIMS SOLUTIONS INC","Consumer Financial Protection Bureau",978019.13
"BLUE TECH INC","Consumer Financial Protection Bureau",961957.97
"TCG INC","Consumer Financial Protection Bureau",943047.02
"WEST PUBLISHING CORPORATION","Consumer Financial Protection Bureau",911462.98
"TMP WORLDWIDE ADVERTISING AND COMMUNICATIONS LIMITED LIABILITY COMPANY","Consumer Financial Protection Bureau",863330.72
"SECTEK INC","Consumer Financial Protection Bureau",861921.08
"PERSONNEL DECISIONS RESEARCH INSTITUTES INC","Consumer Financial Protection Bureau",855104.43
"ACCENTURE NATIONAL SECURITY SERVICES LIMITED LIABILITY COMPANY","Consumer Financial Protection Bureau",826567.24
"JD POWER AND ASSOCIATES INC","Consumer Financial Protection Bureau",823661
"CORELOGIC INFORMATION SOLUTIONS INC","Consumer Financial Protection Bureau",796370.37
"WESTAT INC","Consumer Product Safety Commission",979513
"EMERGENCY PHYSICIANS MEDICAL GROUP PC INC","Consumer Product Safety Commission",972573.45
"KONIAG SERVICES INC","Consumer Product Safety Commission",921636.64
"EXECUTIVE INFORMATION SYSTEMS","Consumer Product Safety Commission",732795.28
"EVOKE RESEARCH AND CONSULTING LLC","Consumer Product Safety Commission",722922.07
"LABVANTAGE SOLUTIONS INCORPORATED 3484","Consumer Product Safety Commission",707033.68
"CDW GOVERNMENT INC","Consumer Product Safety Commission",629033.54
"CARAHSOFT TECHNOLOGY CORP","Consumer Product Safety Commission",541210.08
"ADVANCED INFORMATION SYSTEM INC","Consumer Product Safety Commission",535107.24
"INDUSTRIAL ECONOMICS INCORPORATED","Consumer Product Safety Commission",528811.46
"3T-INNOVATIONS LLC","Corporation for National and Community Service",913442.61
"KPMG LLP","Corporation for National and Community Service",855953.63
"CELLCO PARTNERSHIP","Corporation for National and Community Service",841700.28
"THOMAS CASTRO GUTIERREZ CPA LLC","Corporation for National and Community Service",836351.9
"COTTON & COMPANY LLP","Corporation for National and Community Service",767718.75
"CANON USA INC","Corporation for National and Community Service",704929.49
"MIDTOWN PERSONNEL INC","Corporation for National and Community Service",569930.37
"GUARDIANS OF HONOR LLC","Corporation for National and Community Service",533861.19
"KELLY ANDERSON & ASSOCIATES INC","Corporation for National and Community Service",508181.6
"KELLY PAUL KENNARD","Corporation for National and Community Service",475000
"WOOD NORVEL","Court Services and Offender Supervision Agency",867401.2
"GUERZON AND ASSOCIATES LLC","Court Services and Offender Supervision Agency",849960
"TEAM ASKIN TECHNOLOGIES INCORPORATED","Court Services and Offender Supervision Agency",725055.3
"ENTERPRISE TECHNOLOGY MANAGEMENT LLC","Court Services and Offender Supervision Agency",719249.4
"SOFTWARE INFORMATION RESOURCE CORP","Court Services and Offender Supervision Agency",709539.26
"CONCORD PERSONNEL SERVICES INC","Court Services and Offender Supervision Agency",694418.01
"WILLIAMS ADLEY & COMPANY - DC LLP","Court Services and Offender Supervision Agency",675734.31
"MAGADIA CONSULTING INC","Court Services and Offender Supervision Agency",601383.4
"COMPREHENSIVE COMMUNITY HEALTH & PSYCHOLIGICAL SERVICES LLC","Court Services and Offender Supervision Agency",547756
"LAZ PARKING LTD LLC","Court Services and Offender Supervision Agency",514860
"REAL-TIME INNOVATIONS INC","Defense Advanced Research Projects Agency",999992
"NAVSYS CORPORATION THE","Defense Advanced Research Projects Agency",999992
"AUTOMEDX INC","Defense Advanced Research Projects Agency",999990
"APPLIED OPTRONICS CORP","Defense Advanced Research Projects Agency",999976.8
"EXQUADRUM INC","Defense Advanced Research Projects Agency",999969.92
"EVIGIA SYSTEMS INC","Defense Advanced Research Projects Agency",999944.96
"INFLAMMATIX INC","Defense Advanced Research Projects Agency",999923
"THERMODYNAMIC FILMS LLC","Defense Advanced Research Projects Agency",999890.32
"VIP SENSORS INC","Defense Advanced Research Projects Agency",999871
"EM PHOTONICS INC","Defense Advanced Research Projects Agency",999845
"GARDA CL NORTHWEST INC","Defense Commissary Agency",996748.98
"OROKU TRANSPORTATION CO","Defense Commissary Agency",954388.4
