"Agency","Subagency","accountID","Title","Obligation"
"Department of Agriculture","Farm Service Agency",376,"Dairy Indemnity Program, Farm Service Agency, Agriculture",224334.08
"Department of Agriculture","Farm Service Agency",396,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",1072317.33
"Department of Agriculture","Farm Service Agency",380,"Conservation Reserve Program, Farm Service Agency, Agriculture",0
"Department of Agriculture","Farm Service Agency",390,"Reimbursement for Net Realized Losses, Commodity Credit Corporation",0
"Department of Agriculture","Farm Service Agency",405,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",607835.96
"Department of Agriculture","Farm Service Agency",371,"Farm Storage Facility Loans Program Accounts, Farm Service Agency, Agriculture",11661923
"Department of Agriculture","Farm Service Agency",373,"Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",96078
"Department of Agriculture","Farm Service Agency",372,"Apple Loans Program Account, Farmer Service Agency, Agriculture",59993
"Department of Agriculture","Farm Service Agency",442,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",577765.62
"Department of Agriculture","Farm Service Agency",446,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",14896000
"Department of Agriculture","Farm Service Agency",447,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",26572706.72
"Department of Agriculture","Farm Service Agency",475,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",308,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",238894871.41
"Department of Agriculture","Natural Resources Conservation Service",306,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",309,"Wetlands Reserve Program, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",310,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",354,"Great Plains Conservation Program, Natural Resources Conservation Service",0
"Department of Agriculture","Natural Resources Conservation Service",383,"Forestry Incentives Program, Natural Resources Conservation Service",0
"Department of Agriculture","Natural Resources Conservation Service",381,"Water Bank Program, Natural Resources Conservation Service, Agriculture",4459598.08
"Department of Agriculture","Natural Resources Conservation Service",379,"Colorado River Basin Salinity Control Program, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",406,"Damage Assessment and Restoration Revolving Fund, Agriculture",21.84
"Department of Agriculture","Natural Resources Conservation Service",477,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Rural Housing Service",343,"Expenses, Rural Housing Assistance Grants, Rural Housing Service",34062873.42
"Department of Agriculture","Rural Housing Service",347,"Rural Rental Assistance Payments, Rural Housing Service, Agriculture",38662463.07
"Department of Agriculture","Rural Housing Service",348,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",36614384.51
"Department of Agriculture","Rural Housing Service",342,"Community Facility Loans Program Account, Rural Housing and Community Development Service",292940588.75
"Department of Agriculture","Rural Housing Service",397,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",28550314.41
"Department of Agriculture","Rural Business_Cooperative Service",352,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",13847642.77
"Department of Agriculture","Rural Business_Cooperative Service",368,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",15165105.9
"Department of Agriculture","Rural Business_Cooperative Service",345,"Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",3608278
"Department of Agriculture","Rural Business_Cooperative Service",339,"Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",133781092.5
"Department of Agriculture","Rural Business_Cooperative Service",403,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",0
"Department of Agriculture","Rural Business_Cooperative Service",370,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",6488511.73
"Department of Agriculture","Rural Business_Cooperative Service",369,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",59368366
"Department of Agriculture","Rural Business_Cooperative Service",399,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",0
"Department of Agriculture","Rural Utilities Service",349,"High Energy Cost Grants, Rural Utilities Service, Agriculture",17039101
"Department of Agriculture","Rural Utilities Service",346,"Rural Water and Waste Disposal Loans Program Account, Rural Utilities Service",672269750.31
"Department of Agriculture","Rural Utilities Service",402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",1490912741.49
"Department of Agriculture","Rural Utilities Service",324,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",155037221.2
"Department of Agriculture","Rural Utilities Service",400,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",0
"Department of Agriculture","Foreign Agricultural Service",328,"Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture",0
"Department of Agriculture","Foreign Agricultural Service",359,"Ameri Flora '92 Exposition, Foreign Agriculture Service, Agriculture",0
"Department of Agriculture","Foreign Agricultural Service",482,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",0
"Department of Agriculture","Foreign Agricultural Service",367,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",259971407.62
"Department of Agriculture","Foreign Agricultural Service",355,"Expenses, Public Law 480 Title I, Ocean Freight Differential Grants,  Foreign Agricultural  Service, Agriculture",0
"Department of Agriculture","Foreign Agricultural Service",356,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",1271187.09
"Department of Agriculture","Foreign Agricultural Service",484,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",18011216.89
"Department of Agriculture","Forest Service",431,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",0
"Department of Agriculture","Forest Service",438,"State and Private Forestry, Forest Service,  Agriculture",62208873.41
"Department of Agriculture","Forest Service",318,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",0
"Department of Agriculture","Forest Service",443,"Stewardship Contracting Product Sales, Forest Service, Agriculture",12901560.07
"Department of Agriculture","Forest Service",409,"Land Acquisition, Forest Service, Agriculture",48519385.48
"Department of Agriculture","Forest Service",441,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",0
"Department of Agriculture","Forest Service",436,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",6982745.5
"Department of Agriculture","Forest Service",437,"Valles Caldera Fund, Forest Service, Agriculture",0
"Department of Agriculture","Forest Service",425,"Operation and Maintenance of Quarters, Forest Service, Agriculture",7768450.64
"Department of Agriculture","Forest Service",426,"Resource Management Timber Receipts, Forest Service, Agriculture",0
"Department of Agriculture","Forest Service",429,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",93027346.82
"Department of Agriculture","Forest Service",412,"Payments to States, National Forests Fund,  Forest Service, Agriculture",75902742.12
"Department of Agriculture","Forest Service",421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",5725650
"Department of Agriculture","Forest Service",448,"Payments to Counties, National Grasslands, Forest Service,  Agriculture",13640510.76
"Department of Agriculture","Forest Service",413,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",207848.63
"Department of Agriculture","Forest Service",414,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",183.15
"Department of Agriculture","Forest Service",415,"Timber Salvage Sales, Forest Service,  Agriculture",53614042.91
"Department of Agriculture","Forest Service",417,"Expenses, Brush Disposal, Forest Service,  Agriculture",21455041.64
"Department of Agriculture","Forest Service",422,"Licensee Programs, Forest Service, Agriculture",138096.31
"Department of Agriculture","Forest Service",423,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",57025431.17
"Department of Agriculture","Forest Service",427,"Quinault Special Management Area, Forest Service, Agriculture",1015.27
"Department of Agriculture","Forest Service",430,"MNP Rental Fee Account, Forest Service, Agriculture",846623.62
"Department of Agriculture","Forest Service",428,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",17645932.08
"Department of Agriculture","Forest Service",435,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",4440903.11
"Department of Agriculture","Forest Service",407,"Working Capital Fund, Forest Service,  Agriculture",254800377.07
"Department of Agriculture","Forest Service",469,"Cooperative Work, Forest Service,  Agriculture",272908208.76
"Department of Agriculture","Forest Service",472,"Reforestation Trust Fund, Forest Service, Agriculture",30486821.54
"Department of Agriculture","Forest Service",471,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",123250
"Department of Commerce","Departmental Management",488,"Renovation and Modernization, Departmental Management, Commerce",3747140.91
"Department of Commerce","Departmental Management",527,"Working Capital Fund, Departmental Management, Commerce",218225571.46
"Department of Commerce","Departmental Management",558,"Gifts and Bequests, Departmental Management, Commerce",4029962.82
"Department of Commerce","Economic Development Administration",524,"Economic Development Revolving Fund, Liquidating Account, Commerce",134124.52
"Department of Commerce","Bureau of the Census",528,"Census Working Capital Fund, Bureau of the Census, Commerce",858990032.21
"Department of Commerce","Bureau of Economic Analysis",522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",1878891.37
"Department of Commerce","International Trade Administration",540,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",532,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",534,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",6156662.03
"Department of Commerce","National Oceanic and Atmospheric Administration",535,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",11248503.84
"Department of Commerce","National Oceanic and Atmospheric Administration",542,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",45576.04
"Department of Commerce","National Oceanic and Atmospheric Administration",514,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",541,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",4196266.31
"Department of Commerce","National Oceanic and Atmospheric Administration",533,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries, National Oceanic and Atmospheric Administration, Commerce",14011999.14
"Department of Commerce","National Oceanic and Atmospheric Administration",539,"Western Pacific Sustainable Fisheries Fund, National Oceanic and Atmospheric Administration, Commerce",640650
"Department of Commerce","National Oceanic and Atmospheric Administration",531,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",31187.73
"Department of Commerce","National Oceanic and Atmospheric Administration",518,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",543,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",3542195.53
"Department of Commerce","National Oceanic and Atmospheric Administration",537,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",6827230
"Department of Commerce","National Oceanic and Atmospheric Administration",520,"Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",521,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",29631065.14
"Department of Commerce","National Oceanic and Atmospheric Administration",512,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",30763900.67
"Department of Commerce","National Oceanic and Atmospheric Administration",525,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","U.S. Patent and Trademark Office",506,"Salaries and Expenses, Patent and Trademark Office, Commerce",3203995150.93
"Department of Commerce","National Technical Information Service",519,"NTIS Revolving Fund, National Technical Information Service, Commerce",158282438.26
"Department of Commerce","National Institute of Standards and Technology",501,"Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",0
"Department of Commerce","National Institute of Standards and Technology",500,"Industrial Technology Services, National Institute of Standards and Technology, Commerce",190888883.06
"Department of Commerce","National Institute of Standards and Technology",498,"Construction of Research Facilities, National Institute of Standards and Technology, Commerce",91822284.51
"Department of Commerce","National Institute of Standards and Technology",530,"Working Capital Fund, National Institute of Standards and Technology, Commerce",127037271.63
"Department of Commerce","National Institute of Standards and Technology",497,"Wireless Innovation(WIN) Fund, National Institute of Standards and Technology, Commerce",49755163.92
"Department of Commerce","National Telecommunications and Information Administration",503,"Public Telecommunications Facilities, Planning and Construction, National Telecommunications and Information, Commerce",55477.86
"Department of Commerce","National Telecommunications and Information Administration",504,"Information Infrastructure Grants, National Telecommunications and Information Administration, Commerce",65154.75
"Department of Commerce","National Telecommunications and Information Administration",505,"Broadband Technology Opportunities Program - Recovery Act, National Telecommunications and Information Administration, Commerce",0
"Department of Commerce","National Telecommunications and Information Administration",538,"Digital Television Transition and Public Safety Fund, National Telecommunications and Information Administration, Commerce",0
"Department of Commerce","National Telecommunications and Information Administration",557,"Public Safety Trust Fund, National Telecommunications and Information Administration, Commerce",32801489.85
"Department of Commerce","National Telecommunications and Information Administration",499,"State and Local Implementation Fund, National Telecommunications and Information Administration, Commerce",1968576.5
"Department of Commerce","National Telecommunications and Information Administration",523,"Network Construction Fund, Telecommunications and Information Administration, Commerce",1064676349.97
"Department of Defense","Military Personnel",1249,"Medicare-Eligible Retiree Health Fund Contribution, Army",1954925000
"Department of Defense","Military Personnel",942,"Medicare-Eligible Retiree Health Fund Contribution, Navy",1352369000
"Department of Defense","Military Personnel",943,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",766286000
"Department of Defense","Military Personnel",1506,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",1319491000
"Department of Defense","Military Personnel",1250,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",376452000
"Department of Defense","Military Personnel",944,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",123448000
"Department of Defense","Military Personnel",945,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",71630000
"Department of Defense","Military Personnel",1507,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",125293000
"Department of Defense","Military Personnel",1508,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",216337000
"Department of Defense","Military Personnel",2562,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",6769323000
"Department of Defense","Operation and Maintenance",2569,"Overseas Contingency Operations Transfer Fund, Defense",0
"Department of Defense","Operation and Maintenance",2570,"Counter-Islamic State of Iraq and Levant Overseas Contingency Operations Transfer Fund, Defense",0
"Department of Defense","Operation and Maintenance",2601,"Support for International Sporting Competitions, Defense",825289.7
"Department of Defense","Operation and Maintenance",2592,"Foreign Currency Fluctuations, Defense",0
"Department of Defense","Operation and Maintenance",2595,"Environmental Restoration, Defense",0
"Department of Defense","Operation and Maintenance",1248,"Environmental Restoration, Army",0
"Department of Defense","Operation and Maintenance",1505,"Environmental Restoration, Air Force",0
"Department of Defense","Operation and Maintenance",941,"Environmental Restoration, Navy",0
"Department of Defense","Operation and Maintenance",2596,"Environmental Restoration, Formerly Used Defense Sites, Defense",0
"Department of Defense","Operation and Maintenance",2621,"Contributions to the Cooperative Threat Reduction Program, Defense",800000
"Department of Defense","Operation and Maintenance",954,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",1276,"Pakistan Counterinsurgency Fund, Army",0
"Department of Defense","Operation and Maintenance",1279,"Counter-ISIL Train and Equip Fund, Army",97791.83
"Department of Defense","Operation and Maintenance",2598,"Defense Emergency Response Fund, Defense",0
"Department of Defense","Operation and Maintenance",2611,"Emergency Response Fund, Defense",0
"Department of Defense","Operation and Maintenance",2612,"Defense Cooperation Account, Defense",0
"Department of Defense","Operation and Maintenance",2617,"Burden Sharing Contribution, Defense",313969826.06
"Department of Defense","Operation and Maintenance",2616,"Use of Proceeds from the Transfer or Disposition of Commissary Facilities, Defense",0
"Department of Defense","Operation and Maintenance",1284,"National Science Center, Army",0
"Department of Defense","Operation and Maintenance",1282,"Restoration, Rocky Mountain Arsenal, Army",1498308.7
"Department of Defense","Operation and Maintenance",969,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",2613,"Disposal of Department of Defense Real Property, Defense",2544134.81
"Department of Defense","Operation and Maintenance",2614,"Lease of Department of Defense Real Property, Defense",10515596.68
"Department of Defense","Operation and Maintenance",2615,"Department of Defense Overseas Military Facility Investment Recovery Account, Defense",0
"Department of Defense","Operation and Maintenance",2619,"Mutually Beneficial Activities, Defense",744211.73
"Department of Defense","Operation and Maintenance",2620,"Department of Defense Vietnam War Commemoration Fund, Defense",839804.64
"Department of Defense","Operation and Maintenance",1286,"Department of Defense Korean War Commemoration Fund, Army",0
"Department of Defense","International Reconstruction and Other Assistance",1271,"Operating Expenses of the Coalition Provisional Authority, Army",38785
"Department of Defense","International Reconstruction and Other Assistance",1270,"Iraq Relief and Reconstruction Fund, Army",0
"Department of Defense","Procurement",2603,"Joint Improvised-Threat Defeat Fund, Defense",63654068.96
"Department of Defense","Procurement",962,"National Sea-Based Deterrence Fund, Navy",625810589
"Department of Defense","Procurement",937,"Coastal Defense Augmentation, Navy",0
"Department of Defense","Procurement",2578,"Defense Production Act Purchases, Defense",16034308.6
"Department of Defense","Procurement",1244,"Chemical Agents and Munitions Destruction, Army",0
"Department of Defense","Procurement",2574,"Mine Resistant Ambush Protected Vehicle Fund, Defense",0
"Department of Defense","Research, Development, Test, and Evaluation",1513,"Tanker Replacement Transfer Fund, Air Force",0
"Department of Defense","Research, Development, Test, and Evaluation",2622,"Contributions for Renewable Energy Impact Assessments and Mitigation, Defense",0
"Department of Defense","Military Construction",1263,"Military Construction - Recovery Act, Army",0
"Department of Defense","Military Construction",970,"Ford Island Improvement Account",0
"Department of Defense","Military Construction",952,"Military Construction - Recovery Act, Navy and Marine Corps",0
"Department of Defense","Military Construction",1516,"Military Construction - Recovery Act, Air Force",0
"Department of Defense","Military Construction",2585,"Military Construction - Recovery Act, Defense-Wide",25054482.67
"Department of Defense","Military Construction",2594,"North Atlantic Treaty Organization, Security Investment Program, Defense",256471020.27
"Department of Defense","Military Construction",1275,"Military Construction - Recovery Act, Army National Guard",0
"Department of Defense","Military Construction",1524,"Military Construction - Recovery Act, Air National Guard",0
"Department of Defense","Military Construction",2586,"Department of Defense Base Closure Account 1990, Defense",866442.07
"Department of Defense","Military Construction",2593,"Foreign Currency Fluctuations, Construction, Defense",0
"Department of Defense","Family Housing",1246,"Family Housing Construction - Recovery Act, Army",0
"Department of Defense","Family Housing",1503,"Family Housing Construction - Recovery Act, Air Force",0
"Department of Defense","Family Housing",2589,"Family Housing Construction, Defense-Wide",0
"Department of Defense","Family Housing",2605,"Homeowners Assistance Fund, Defense",2353264.94
"Department of Defense","Family Housing",2606,"Homeowners Assistance Fund - Recovery Act, Defense",0
"Department of Defense","Family Housing",2599,"Department of Defense Family Housing Improvement Fund, Defense",81817359.21
"Department of Defense","Family Housing",2600,"Department of Defense Military Unaccompanied Housing Improvement Fund, Defense",0
"Department of Defense","Revolving and Management Funds",2607,"National Defense Stockpile Transaction Fund, Defense",24410605.01
"Department of Defense","Revolving and Management Funds",2610,"Pentagon Reservation Maintenance Revolving Fund",1510812853.1
"Department of Defense","Revolving and Management Funds",966,"National Defense Sealift Fund, Navy",562067083.92
"Department of Defense","Revolving and Management Funds",2609,"Building Maintenance Fund, Defense",1083888377.93
"Department of Defense","Allowances",2604,"Consolidated Reporting for DOD Closed Accounts, Defense",0
"Department of Defense","Trust Funds",2644,"Voluntary Separation Incentive Fund, Defense",46219134.05
"Department of Defense","Trust Funds",2645,"Host Nation Support for U.S. Relocation Activities, Defense",252569282.97
"Department of Defense","Trust Funds",2646,"Support for U.S. Relocation to Guam Activities, Defense",5370352.99
"Department of Defense","Trust Funds",2640,"Department of Defense General Gift Fund, Defense",400691.36
"Department of Defense","Trust Funds",1549,"Department of the Air Force General Gift Fund, Air Force",3971987.07
"Department of Defense","Trust Funds",1307,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",0
"Department of Defense","Trust Funds",1308,"Department of the Army General Gift Fund, Army",11767270.47
"Department of Defense","Trust Funds",989,"Department of the Navy General Gift Fund, Navy",1791935.89
"Department of Defense","Trust Funds",990,"Ships' Stores Profits, Navy",10052187.73
"Department of Defense","Trust Funds",991,"United States Naval Academy General Gift Fund",19354006.48
"Department of Defense","Trust Funds",2643,"National Security Education Trust Fund, Defense",0
"Department of Defense","Trust Funds",2642,"Foreign National Employees Separation Pay Account, Defense",6219276.96
"Department of Defense","Trust Funds",1548,"Air Force Cadet Fund, Air Force",252678.96
"Department of Defense","Trust Funds",2641,"Surcharge Collections, Sales of Commissary Stores, Defense Commissary Agency, Defense",125261853.03
"Department of Education","Office of Elementary and Secondary Education",2491,"Chicago Litigation Settlement, Education",0
"Department of Education","Office of Special Education and Rehabilitative Services",2505,"Gallaudet University, Special Institutions for Persons with Disabilities, Education",121275000
"Department of Education","Office of Postsecondary Education",2496,"College Housing and Academic Facilities Loans, Liquidating Account, Education",1711443.8
"Department of Education","Office of Postsecondary Education",2494,"Higher Education Facilities Loans and Insurance,  Education",177524.7
"Department of Education","Office of Postsecondary Education",2516,"College Housing Loans, Education",538810.47
"Department of Education","Office of Federal Student Aid",2517,"Federal Student Loan Reserve Fund, Education",12483200
"Department of Education","Office of Federal Student Aid",2493,"Federal Family Education Loan Program Account, Education",11155844830
"Department of Education","Office of Federal Student Aid",2492,"Guaranteed Student Loans, Liquidating Account, Education",62955407.2
"Department of Education","Office of Federal Student Aid",2518,"Health Education Assistance Loans Liquidating Account, Education",1718302.61
"Department of Education","Departmental Management",2525,"Contributions,  Education",415886.67
"Department of Education","Departmental Management",2514,"Office of the Inspector General - Recovery Act, Departmental Management, Education",0
"Department of Education","Hurricane Education Recovery",2481,"Hurricane Education Recovery, Office of Elementary and Secondary Education, Education",0
"Department of Energy","National Nuclear Security Administration",2421,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",1931843591.01
"Department of Energy","National Nuclear Security Administration",2422,"Cerro Grande Fire Activities, Energy",0
"Department of Energy","Environmental and Other Defense Activities",2412,"Defense Environmental Restoration and Waste Management, Energy",0
"Department of Energy","Environmental and Other Defense Activities",2415,"Defense Environmental Services, Energy",0
"Department of Energy","Environmental and Other Defense Activities",2414,"Defense Nuclear Waste Disposal, Environmental and Other Defense Activities, Energy",5622180.14
"Department of Energy","Energy Programs",2404,"Energy Supply, Energy",12391.14
"Department of Energy","Energy Programs",2428,"Legacy Management, Energy Programs, Energy",0
"Department of Energy","Energy Programs",2425,"Non-Defense Environmental Cleanup, Energy Programs, Energy",283726282.65
"Department of Energy","Energy Programs",2402,"Naval Petroleum and Oil Shale Reserves, Energy Programs, Energy",15652579.25
"Department of Energy","Energy Programs",2398,"Energy Conservation, Energy",0
"Department of Energy","Energy Programs",2401,"Strategic Petroleum Reserve, Energy Programs, Energy",221250865.41
"Department of Energy","Energy Programs",2407,"Emergency Preparedness, Energy",0
"Department of Energy","Energy Programs",2406,"SPR Petroleum Account, Energy Programs, Energy",673526.98
"Department of Energy","Energy Programs",2459,"Energy Security and Infrastructure Modernization Fund",164615246.32
